Numero;Projeto-modelo;Disciplina;Nivel;Uso principal;Descricao
1;Residência térrea 70 m²;Estrutural;Básico;Estudo de lançamento estrutural;Planta de lançamento estrutural com pilares, vigas, sapatas e viga baldrame. Ambientes: sala, cozinha, 2 quartos, banheiro, área de serviço e varanda.
2;Residência térrea 100 m²;Estrutural;Básico/intermediário;Planta de formas e detalhes;Planta de formas, pilares, vigas, laje, fundações com sapatas isoladas, quadro de peças e detalhes típicos.
3;Sobrado 120 m²;Estrutural;Intermediário;Estrutura em dois pavimentos;Plantas de formas térreo e superior, pilares, vigas principais, escada em corte esquemático, fundação e quadro de peças.
4;Sobrado 180 m²;Estrutural;Avançado;Estrutura residencial de maior porte;Plantas de formas térreo/superior, vigas de transição destacadas, pilares, laje, escada, fundação conceitual e 3D explodido.
5;Edícula com área gourmet;Estrutural;Básico;Estrutura de obra pequena;Lançamento estrutural, pilares nos cantos, vigas de cobertura, fundação rasa, área gourmet referencial, detalhes de viga e pilar.
6;Garagem coberta em concreto armado;Estrutural;Básico;Pilares, vigas e cobertura;Planta de pilares e vigas, cobertura/laje indicada, detalhes de pilar/viga, fundação dos pilares e vista isométrica.
7;Fundação com sapatas isoladas;Estrutural;Intermediário;Locação e detalhe de fundação;Planta de locação de sapatas, eixos estruturais, pilares, vigas baldrame, corte de sapata típica, armadura conceitual e quadro de sapatas.
8;Fundação com viga baldrame;Estrutural;Básico/intermediário;Baldrames e cortes conceituais;Planta de baldrames, vigas VB, apoios, corte transversal, armadura conceitual, quadro de vigas e notas de impermeabilização.
9;Fundação tipo radier;Estrutural;Intermediário;Planta, corte e malha;Planta do radier, malha inferior representada, reforços a definir, corte A-A, detalhe de borda, observações e vista 3D.
10;Detalhamento completo de vigas;Estrutural;Intermediário;Leitura de armaduras conceituais;Vigas V1 e V2 em vista longitudinal, cortes transversais, armaduras superiores/inferiores, estribos, tabela de aço conceitual.
11;Detalhamento completo de pilares;Estrutural;Intermediário;Elevação e cortes de pilares;Pilares P1 e P2 em elevação, cortes transversais, armaduras longitudinais, estribos, regiões de emenda a validar e quadro de pilares.
12;Detalhamento de laje maciça;Estrutural;Intermediário;Armação de laje;Planta de armação da laje, armadura principal e secundária, corte, apoio, tabela de aço conceitual e notas sobre vãos e cargas.
13;Detalhamento de laje treliçada;Estrutural;Intermediário;Paginação e corte;Planta de paginação das vigotas, sentido das vigotas, blocos de enchimento, capa de concreto em corte, apoio e quadro de materiais.
14;Escada de concreto armado;Estrutural;Avançado;Planta, corte e armadura conceitual;Planta e corte longitudinal da escada, degraus, armadura principal inferior, distribuição, apoio superior/inferior e isométrico.
15;Muro de arrimo baixo;Estrutural;Avançado;Estudo de estabilidade e drenagem;Corte transversal, base/sapata, parede vertical, armaduras, dreno/barbacã como sugestão visual, elevação e notas de validação.
16;Bloco de coroamento para estacas;Estrutural;Avançado;Bloco, estacas e cortes;Planta do bloco, estacas, pilar central, cortes longitudinal/transversal, armaduras conceituais e vista 3D semitransparente.
17;Reservatório elevado pequeno;Estrutural;Avançado;Apoios, fundação e estabilidade;Planta da estrutura, pilares de apoio, vigas superiores, fundação dos apoios, vista lateral, 3D e notas de cargas/vento.
