caminho,nome_do_arquivo,tipo,modulo_relacionado,finalidade,publico,status,observacoes
00_RELATORIOS_DE_PRODUCAO/CHECKLIST_FINAL_DE_QUALIDADE.md,CHECKLIST_FINAL_DE_QUALIDADE.md,md,Geral,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
00_RELATORIOS_DE_PRODUCAO/INVENTARIO_EXPANSAO_PREMIUM.csv,INVENTARIO_EXPANSAO_PREMIUM.csv,csv,Geral,inventário ou aba principal em CSV,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
00_RELATORIOS_DE_PRODUCAO/RELATORIO_ARQUIVOS_CRIADOS.md,RELATORIO_ARQUIVOS_CRIADOS.md,md,Geral,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
00_RELATORIOS_DE_PRODUCAO/RELATORIO_DECISOES_EDITORIAIS.md,RELATORIO_DECISOES_EDITORIAIS.md,md,Geral,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
00_RELATORIOS_DE_PRODUCAO/RELATORIO_LIMITES_TECNICOS_E_VALIDACOES.md,RELATORIO_LIMITES_TECNICOS_E_VALIDACOES.md,md,Geral,"fonte textual, guia ou relatório","usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
01_PLANILHAS_EDITAVEIS/CSV/ATIVIDADES_PLANEJAMENTO.csv,ATIVIDADES_PLANEJAMENTO.csv,csv,12,inventário ou aba principal em CSV,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
01_PLANILHAS_EDITAVEIS/CSV/PENDENCIAS_GERAIS.csv,PENDENCIAS_GERAIS.csv,csv,Geral,inventário ou aba principal em CSV,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
01_PLANILHAS_EDITAVEIS/CSV/QUANTITATIVOS.csv,QUANTITATIVOS.csv,csv,11,inventário ou aba principal em CSV,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
01_PLANILHAS_EDITAVEIS/CSV/REGISTROS_DE_CAMPO.csv,REGISTROS_DE_CAMPO.csv,csv,13,inventário ou aba principal em CSV,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
01_PLANILHAS_EDITAVEIS/PLANILHA_CONTROLE_DE_PENDENCIAS_E_VALIDACOES.xlsx,PLANILHA_CONTROLE_DE_PENDENCIAS_E_VALIDACOES.xlsx,xlsx,Geral,planilha editável,"usuário iniciante/intermediário, estudante, projetista, consultor ou equipe técnica",criado,Material educacional e preliminar.
