ID do registro,Data,Local,Ambiente,Elemento observado,Descrição da observação,Evidência,Foto relacionada,Limitação da análise,Responsável pela verificação,Status,Observações
REG-001,não informado,a preencher,a preencher,a preencher,a preencher,não informado,não informado,a validar,a validar por profissional habilitado,a preencher,
REG-002,não informado,a preencher,a preencher,a preencher,a preencher,não informado,não informado,a validar,a validar por profissional habilitado,a preencher,
REG-003,não informado,a preencher,a preencher,a preencher,a preencher,não informado,não informado,a validar,a validar por profissional habilitado,a preencher,
REG-004,não informado,a preencher,a preencher,a preencher,a preencher,não informado,não informado,a validar,a validar por profissional habilitado,a preencher,
REG-005,não informado,a preencher,a preencher,a preencher,a preencher,não informado,não informado,a validar,a validar por profissional habilitado,a preencher,
REG-006,não informado,a preencher,a preencher,a preencher,a preencher,não informado,não informado,a validar,a validar por profissional habilitado,a preencher,
REG-007,não informado,a preencher,a preencher,a preencher,a preencher,não informado,não informado,a validar,a validar por profissional habilitado,a preencher,
REG-008,não informado,a preencher,a preencher,a preencher,a preencher,não informado,não informado,a validar,a validar por profissional habilitado,a preencher,
REG-009,não informado,a preencher,a preencher,a preencher,a preencher,não informado,não informado,a validar,a validar por profissional habilitado,a preencher,
REG-010,não informado,a preencher,a preencher,a preencher,a preencher,não informado,não informado,a validar,a validar por profissional habilitado,a preencher,
